"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","14-May-2021","        309.05","        309.10","        311.85","        300.00","        307.00","        307.10","        305.28","    4140603","          1264055506.95","      44632","    1544903","         37.31"
"AMBUJACEM","EQ","17-May-2021","        307.10","        307.90","        311.70","        304.55","        310.00","        310.20","        308.52","    4763864","          1469747617.80","      39633","    2011550","         42.23"
"AMBUJACEM","EQ","18-May-2021","        310.20","        314.50","        316.95","        310.10","        315.25","        315.65","        314.26","    4169602","          1310328480.05","      51452","    1544997","         37.05"
"AMBUJACEM","EQ","19-May-2021","        315.65","        315.50","        324.90","        315.00","        317.00","        317.65","        320.40","   10886866","          3488129258.25","      98378","    2597949","         23.86"
"AMBUJACEM","EQ","20-May-2021","        317.65","        319.45","        322.00","        314.35","        320.40","        320.00","        318.49","    5608173","          1786119293.85","      48179","    1968075","         35.09"
"AMBUJACEM","EQ","21-May-2021","        320.00","        322.70","        324.35","        320.25","        321.75","        321.45","        322.40","    4039119","          1302212305.85","      30022","    2003279","         49.60"
"AMBUJACEM","EQ","24-May-2021","        321.45","        321.45","        328.30","        319.50","        326.15","        326.20","        324.50","    4875842","          1582195052.60","      38915","    1535786","         31.50"
"AMBUJACEM","EQ","25-May-2021","        326.20","        326.55","        327.10","        321.25","        321.70","        322.30","        322.97","    3511483","          1134114185.20","      31241","    1516699","         43.19"
"AMBUJACEM","EQ","26-May-2021","        322.30","        322.30","        325.00","        319.40","        322.55","        323.10","        323.31","    3103367","          1003356622.50","      27909","    1204874","         38.82"
"AMBUJACEM","EQ","27-May-2021","        323.10","        322.00","        335.00","        319.50","        329.30","        330.10","        329.36","   12478623","          4110002172.60","      77257","    5409470","         43.35"
"AMBUJACEM","EQ","28-May-2021","        330.10","        330.10","        331.40","        324.25","        325.50","        325.65","        327.71","    2648245","           867860201.30","      33281","     759481","         28.68"
"AMBUJACEM","EQ","31-May-2021","        325.65","        325.40","        328.45","        322.50","        327.45","        326.80","        325.61","    2664186","           867497868.45","      30020","     939583","         35.27"
"AMBUJACEM","EQ","01-Jun-2021","        326.80","        327.00","        328.90","        323.10","        324.15","        324.20","        325.11","    2649537","           861398370.45","      35447","    1051534","         39.69"
"AMBUJACEM","EQ","02-Jun-2021","        324.20","        324.40","        332.40","        322.55","        331.30","        331.10","        328.84","    5346766","          1758224053.90","      51004","    1649152","         30.84"
"AMBUJACEM","EQ","03-Jun-2021","        331.10","        332.10","        336.00","        331.40","        333.20","        333.95","        333.95","    3322366","          1109500210.40","      31948","    1273628","         38.33"
"AMBUJACEM","EQ","04-Jun-2021","        333.95","        333.80","        337.30","        331.20","        332.00","        332.05","        333.48","    1739342","           580042525.95","      23826","     378510","         21.76"
"AMBUJACEM","EQ","07-Jun-2021","        332.05","        333.80","        342.80","        333.15","        338.95","        339.05","        339.12","    4163074","          1411795922.85","      50630","    1596977","         38.36"
"AMBUJACEM","EQ","08-Jun-2021","        339.05","        340.35","        341.80","        336.40","        339.50","        340.35","        339.18","    2954871","          1002236709.00","      32414","    1221747","         41.35"
"AMBUJACEM","EQ","09-Jun-2021","        340.35","        340.00","        341.60","        332.25","        335.00","        334.35","        337.95","    2484987","           839794436.75","      35405","     850004","         34.21"
"AMBUJACEM","EQ","10-Jun-2021","        334.35","        335.80","        344.15","        334.80","        340.85","        341.55","        340.91","    3729387","          1271367982.35","      52716","    1735424","         46.53"
"AMBUJACEM","EQ","11-Jun-2021","        341.55","        341.90","        343.20","        335.95","        338.10","        337.70","        338.55","    1478762","           500630995.85","      18076","     528643","         35.75"
"AMBUJACEM","EQ","14-Jun-2021","        337.70","        337.90","        340.90","        332.50","        340.05","        340.35","        338.63","    1670528","           565695259.25","      19142","     459902","         27.53"
"AMBUJACEM","EQ","15-Jun-2021","        340.35","        340.00","        344.45","        337.45","        340.60","        341.45","        342.09","    2056457","           703503521.95","      34134","     868530","         42.23"
"AMBUJACEM","EQ","16-Jun-2021","        341.45","        341.00","        344.00","        337.60","        339.40","        338.90","        340.51","    2006979","           683402173.95","      29322","     948251","         47.25"
"AMBUJACEM","EQ","17-Jun-2021","        338.90","        336.60","        348.90","        336.00","        347.20","        346.25","        345.40","    7239110","          2500377390.05","      72680","    2592862","         35.82"
"AMBUJACEM","EQ","18-Jun-2021","        346.25","        346.90","        347.50","        335.35","        341.00","        341.30","        341.33","    3129778","          1068301495.70","      42109","     848827","         27.12"
"AMBUJACEM","EQ","21-Jun-2021","        341.30","        337.90","        345.85","        335.00","        344.55","        344.75","        341.80","    2879360","           984177385.60","      28076","    1284974","         44.63"
"AMBUJACEM","EQ","22-Jun-2021","        344.75","        345.35","        351.50","        343.20","        345.30","        346.25","        347.68","    2549800","           886521817.20","      34346","     863427","         33.86"
"AMBUJACEM","EQ","23-Jun-2021","        346.25","        346.90","        348.50","        343.50","        344.75","        345.15","        345.85","    1690045","           584500009.40","      25147","     522113","         30.89"
"AMBUJACEM","EQ","24-Jun-2021","        345.15","        345.15","        347.85","        342.55","        345.50","        346.50","        345.37","    3375247","          1165702678.00","      24001","    1627885","         48.23"
"AMBUJACEM","EQ","25-Jun-2021","        346.50","        346.90","        349.50","        345.15","        348.15","        348.05","        347.20","    2206671","           766160009.40","      21129","    1070716","         48.52"
"AMBUJACEM","EQ","28-Jun-2021","        348.05","        349.75","        350.85","        343.75","        344.25","        344.35","        346.21","    2552962","           883872690.95","      31325","    1182335","         46.31"
"AMBUJACEM","EQ","29-Jun-2021","        344.35","        344.30","        345.80","        342.00","        344.85","        344.40","        343.97","    1671869","           575077760.30","      25700","     747380","         44.70"
"AMBUJACEM","EQ","30-Jun-2021","        344.40","        343.55","        346.45","        339.65","        340.20","        340.65","        343.21","    2767540","           949844561.25","      37645","    1487770","         53.76"
"AMBUJACEM","EQ","01-Jul-2021","        340.65","        341.30","        342.60","        338.60","        340.00","        340.30","        340.30","    1909998","           649965306.95","      22507","     976959","         51.15"
"AMBUJACEM","EQ","02-Jul-2021","        340.30","        341.50","        341.95","        337.25","        339.30","        339.25","        339.16","     955697","           324129570.45","      15398","     269974","         28.25"
"AMBUJACEM","EQ","05-Jul-2021","        339.25","        340.80","        345.25","        339.50","        340.75","        340.30","        342.18","    1403833","           480366496.05","      20137","     477992","         34.05"
"AMBUJACEM","EQ","06-Jul-2021","        340.30","        341.30","        359.95","        341.30","        352.70","        351.85","        354.47","   12291310","          4356921185.00","     120189","    1976441","         16.08"
"AMBUJACEM","EQ","07-Jul-2021","        351.85","        353.80","        358.55","        350.65","        357.45","        357.45","        354.86","    4334221","          1538042293.75","      48140","    1803232","         41.60"
"AMBUJACEM","EQ","08-Jul-2021","        357.45","        357.70","        361.85","        355.75","        360.85","        360.75","        359.62","    5505696","          1979953615.30","      51602","    2009359","         36.50"
"AMBUJACEM","EQ","09-Jul-2021","        360.75","        360.90","        364.45","        357.55","        363.20","        363.60","        361.22","    2443343","           882580596.05","      28475","     801576","         32.81"
"AMBUJACEM","EQ","12-Jul-2021","        363.60","        364.10","        376.40","        363.65","        372.70","        371.75","        372.22","    6429310","          2393112432.40","      69454","    1841805","         28.65"
"AMBUJACEM","EQ","13-Jul-2021","        371.75","        373.55","        374.30","        367.20","        369.05","        368.95","        369.81","    3725976","          1377907096.55","      65484","    2009417","         53.93"
