"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","14-May-2021","       2556.20","       2620.00","       2835.25","       2601.55","       2772.00","       2774.50","       2767.41","   10543708","         29178776832.20","     550509","    1898086","         18.00"
"ASIANPAINT","EQ","17-May-2021","       2774.50","       2782.00","       2824.20","       2747.55","       2782.00","       2782.75","       2786.71","    2134352","          5947812068.40","     112188","     257538","         12.07"
"ASIANPAINT","EQ","18-May-2021","       2782.75","       2797.00","       2845.00","       2789.00","       2818.95","       2821.80","       2814.36","    1328605","          3739177174.55","      61472","     355111","         26.73"
"ASIANPAINT","EQ","19-May-2021","       2821.80","       2805.15","       2849.00","       2798.65","       2808.00","       2815.85","       2822.43","    1219067","          3440732093.90","      58397","     331583","         27.20"
"ASIANPAINT","EQ","20-May-2021","       2815.85","       2814.00","       2845.00","       2778.50","       2791.05","       2794.10","       2811.83","    1211975","          3407871552.00","      54928","     349734","         28.86"
"ASIANPAINT","EQ","21-May-2021","       2794.10","       2807.00","       2854.00","       2795.00","       2831.00","       2832.50","       2828.56","    1328308","          3757194076.15","      85622","     411590","         30.99"
"ASIANPAINT","EQ","24-May-2021","       2832.50","       2846.00","       2849.00","       2808.20","       2820.00","       2819.20","       2820.79","     813091","          2293559297.20","      46964","     326112","         40.11"
"ASIANPAINT","EQ","25-May-2021","       2819.20","       2836.90","       2922.65","       2822.75","       2918.05","       2914.40","       2898.57","    2730112","          7913428013.20","     128515","     485864","         17.80"
"ASIANPAINT","EQ","26-May-2021","       2914.40","       2939.85","       2947.90","       2910.40","       2940.00","       2941.60","       2934.32","    1250531","          3669459803.60","      53243","     304721","         24.37"
"ASIANPAINT","EQ","27-May-2021","       2941.60","       2950.00","       2965.00","       2902.25","       2965.00","       2949.35","       2939.98","    2415085","          7100312827.05","      76899","    1148689","         47.56"
"ASIANPAINT","EQ","28-May-2021","       2949.35","       2958.15","       2963.80","       2931.15","       2935.70","       2940.70","       2946.20","     711383","          2095879007.05","      44927","     228055","         32.06"
"ASIANPAINT","EQ","31-May-2021","       2940.70","       2938.00","       2989.95","       2936.10","       2976.10","       2977.50","       2973.83","    2093635","          6226120142.20","      84746","     800178","         38.22"
"ASIANPAINT","EQ","01-Jun-2021","       2977.50","       2965.00","       2982.60","       2915.10","       2924.90","       2931.00","       2952.41","    1194073","          3525392391.75","      60036","     563894","         47.22"
"ASIANPAINT","EQ","02-Jun-2021","       2931.00","       2918.85","       2933.75","       2877.15","       2906.00","       2903.70","       2902.17","    2067842","          6001222672.15","     105671","    1326981","         64.17"
"ASIANPAINT","EQ","03-Jun-2021","       2903.70","       2919.60","       2942.00","       2904.05","       2935.80","       2935.35","       2921.21","    1404434","          4102642761.40","      71480","     790140","         56.26"
"ASIANPAINT","EQ","04-Jun-2021","       2935.35","       2953.00","       2990.00","       2908.00","       2919.65","       2924.90","       2945.21","    1509084","          4444572736.80","      88095","     544102","         36.06"
"ASIANPAINT","EQ","07-Jun-2021","       2924.90","       2930.00","       2941.00","       2903.95","       2928.00","       2933.10","       2920.50","     802415","          2343455468.55","      51994","     355048","         44.25"
"ASIANPAINT","EQ","08-Jun-2021","       2933.10","       2928.00","       2944.25","       2907.50","       2925.00","       2926.25","       2922.05","     762931","          2229321176.35","      40978","     399020","         52.30"
"ASIANPAINT","EQ","09-Jun-2021","       2926.25","       2930.80","       2965.00","       2919.60","       2941.30","       2943.55","       2946.10","    1340352","          3948804440.10","      76383","     659142","         49.18"
"ASIANPAINT","EQ","10-Jun-2021","       2943.55","       2945.00","       2959.30","       2920.65","       2955.60","       2950.60","       2940.62","    1344559","          3953834253.05","      62341","     802036","         59.65"
"ASIANPAINT","EQ","11-Jun-2021","       2950.60","       2960.00","       2971.60","       2938.60","       2955.10","       2956.25","       2953.60","     878445","          2594573062.55","      53557","     469562","         53.45"
"ASIANPAINT","EQ","14-Jun-2021","       2956.25","       2955.10","       2970.00","       2916.50","       2953.70","       2949.90","       2942.38","     746823","          2197440473.45","      36101","     371926","         49.80"
"ASIANPAINT","EQ","15-Jun-2021","       2949.90","       2970.00","       3050.00","       2960.95","       3035.00","       3042.20","       3022.63","    2262031","          6837291109.25","     129837","     683021","         30.20"
"ASIANPAINT","EQ","16-Jun-2021","       3042.20","       3029.00","       3042.20","       3005.50","       3017.95","       3018.70","       3022.71","     859505","          2598037094.20","      45884","     213951","         24.89"
"ASIANPAINT","EQ","17-Jun-2021","       3018.70","       3017.95","       3073.95","       3000.50","       3059.90","       3060.30","       3053.42","    1533864","          4683523669.95","      76201","     477713","         31.14"
"ASIANPAINT","EQ","18-Jun-2021","       3060.30","       3061.55","       3077.80","       3016.05","       3050.05","       3047.20","       3043.93","    2293860","          6982351087.00","      83345","    1412015","         61.56"
"ASIANPAINT","EQ","21-Jun-2021","       3047.20","       3024.20","       3079.15","       3021.05","       3071.20","       3068.55","       3064.78","     720491","          2208147851.80","      52068","     155071","         21.52"
"ASIANPAINT","EQ","22-Jun-2021","       3068.55","       3085.00","       3092.85","       3004.20","       3015.00","       3010.80","       3042.11","    1199238","          3648212001.45","      62200","     599666","         50.00"
"ASIANPAINT","EQ","23-Jun-2021","       3010.80","       3030.00","       3030.00","       2983.50","       2995.00","       2987.35","       3000.87","    1009007","          3027895738.40","      59721","     377198","         37.38"
"ASIANPAINT","EQ","24-Jun-2021","       2987.35","       2987.35","       3049.70","       2975.45","       3044.00","       3043.25","       3014.66","     985596","          2971232263.50","      53646","     354424","         35.96"
"ASIANPAINT","EQ","25-Jun-2021","       3043.25","       3030.20","       3053.50","       2985.00","       3006.90","       3003.90","       3006.00","     786964","          2365611038.90","      62490","     288295","         36.63"
"ASIANPAINT","EQ","28-Jun-2021","       3003.90","       3024.00","       3038.85","       2976.25","       2986.65","       2982.95","       3002.00","     891695","          2676869204.50","      52409","     307544","         34.49"
"ASIANPAINT","EQ","29-Jun-2021","       2982.95","       2989.00","       3023.85","       2973.05","       3003.00","       3001.50","       2996.75","    1242734","          3724165759.95","      61535","     487876","         39.26"
"ASIANPAINT","EQ","30-Jun-2021","       3001.50","       2999.00","       3030.00","       2985.65","       3002.00","       2992.70","       3006.53","     924522","          2779600708.80","      56390","     370445","         40.07"
"ASIANPAINT","EQ","01-Jul-2021","       2992.70","       3008.00","       3026.90","       2997.00","       3023.15","       3021.60","       3014.31","     848235","          2556846184.65","      41304","     371074","         43.75"
"ASIANPAINT","EQ","02-Jul-2021","       3021.60","       3032.95","       3038.80","       2999.75","       3004.00","       3005.00","       3014.79","     805542","          2428543353.65","      46092","     323482","         40.16"
"ASIANPAINT","EQ","05-Jul-2021","       3005.00","       3020.00","       3050.00","       3007.10","       3011.05","       3014.80","       3023.30","     863343","          2610146036.00","      47086","     344106","         39.86"
"ASIANPAINT","EQ","06-Jul-2021","       3014.80","       3003.00","       3029.50","       2996.00","       3006.50","       3002.50","       3007.63","     762630","          2293712568.25","      46717","     361954","         47.46"
"ASIANPAINT","EQ","07-Jul-2021","       3002.50","       3065.00","       3069.00","       3011.25","       3035.85","       3040.10","       3034.29","    1234865","          3746937365.90","      64849","     378281","         30.63"
"ASIANPAINT","EQ","08-Jul-2021","       3040.10","       3050.00","       3059.00","       3018.80","       3034.00","       3028.30","       3033.76","     907391","          2752804512.05","      51739","     444818","         49.02"
"ASIANPAINT","EQ","09-Jul-2021","       3028.30","       3022.00","       3039.15","       3007.00","       3013.00","       3010.60","       3016.09","     547082","          1650051148.05","      38694","     322433","         58.94"
"ASIANPAINT","EQ","12-Jul-2021","       3010.60","       3034.90","       3042.85","       2991.05","       3000.00","       2999.40","       3009.20","     765566","          2303744133.35","      47137","     410077","         53.57"
"ASIANPAINT","EQ","13-Jul-2021","       2999.40","       3020.00","       3021.10","       2985.35","       2998.20","       2993.85","       2999.24","     703484","          2109918847.25","      47346","     417933","         59.41"
"ASIANPAINT","EQ","14-Jul-2021","       2993.85","       3003.00","       3007.75","       2984.20","       3001.00","       3001.95","       2998.85","     470744","          1411692035.85","      41588","     246580","         52.38"
"ASIANPAINT","EQ","15-Jul-2021","       3001.95","       3010.00","       3011.00","       2971.10","       2988.50","       2983.60","       2984.81","     635535","          1896948406.10","      51815","     352569","         55.48"
"ASIANPAINT","EQ","16-Jul-2021","       2983.60","       2994.00","       3006.00","       2965.00","       2989.90","       2989.30","       2983.47","    1062548","          3170082917.90","      54021","     582920","         54.86"
"ASIANPAINT","EQ","19-Jul-2021","       2989.30","       2989.30","       2999.70","       2965.00","       2980.00","       2981.95","       2981.64","     837836","          2498124639.40","      55888","     383471","         45.77"
"ASIANPAINT","EQ","20-Jul-2021","       2981.95","       2996.00","       3179.50","       2979.55","       3145.05","       3159.05","       3090.59","    6755922","         20879807643.90","     311385","    1145884","         16.96"
"ASIANPAINT","EQ","22-Jul-2021","       3159.05","       3130.00","       3165.00","       3090.00","       3101.30","       3106.75","       3121.84","    1982572","          6189275529.40","     120866","     646868","         32.63"
"ASIANPAINT","EQ","23-Jul-2021","       3106.75","       3106.00","       3129.60","       3078.05","       3085.15","       3083.75","       3097.38","     815329","          2525382630.20","      60645","     277838","         34.08"
"ASIANPAINT","EQ","26-Jul-2021","       3083.75","       3079.95","       3119.00","       3051.20","       3059.55","       3061.20","       3081.27","    1136884","          3503041092.20","      69760","     591409","         52.02"
"ASIANPAINT","EQ","27-Jul-2021","       3061.20","       3079.40","       3081.50","       3021.30","       3028.15","       3028.65","       3042.66","     904289","          2751443573.75","      60402","     526416","         58.21"
